Wisconsin,10,2016,56.5,14
Wyoming,10,2016,51.0,39
Alabama,11,2016,63.2,29
Arizona,11,2016,59.6,2
Arkansas,11,2016,61.4,20
California,11,2016,56.6,21
Colorado,11,2016,46.0,40
Connecticut,11,2016,48.5,22
Delaware,11,2016,54.6,41
Florida,11,2016,70.6,3
Georgia,11,2016,62.9,23
Idaho,11,2016,42.2,24
Illinois,11,2016,54.0,25
Indiana,11,2016,53.2,32
Iowa,11,2016,50.2,42
Kansas,11,2016,55.7,43
Kentucky,11,2016,56.3,18
Louisiana,11,2016,66.9,33
Maine,11,2016,42.0,15
Maryland,11,2016,53.6,0
Massachusetts,11,2016,47.2,30
Michigan,11,2016,47.1,4
Minnesota,11,2016,44.2,26
Mississippi,11,2016,63.7,8
Missouri,11,2016,56.6,37
Montana,11,2016,41.7,31
Nebraska,11,2016,49.8,9
Nevada,11,2016,48.2,1
New Hampshire,11,2016,43.0,44
New Jersey,11,2016,51.7,45
New Mexico,11,2016,53.2,34
New York,11,2016,45.4,10
North Carolina,11,2016,57.4,5
North Dakota,11,2016,42.7,35
Ohio,11,2016,51.8,6
Oklahoma,11,2016,61.2,27
Oregon,11,2016,45.6,47
Pennsylvania,11,2016,48.1,16
Rhode Island,11,2016,50.0,7
South Carolina,11,2016,61.0,11
South Dakota,11,2016,46.8,19
Tennessee,11,2016,58.6,46
Texas,11,2016,65.9,38
Utah,11,2016,47.4,28
Vermont,11,2016,42.2,12
Virginia,11,2016,54.0,36
Washington,11,2016,45.2,17
West Virginia,11,2016,51.4,13
Wisconsin,11,2016,46.0,14
Wyoming,11,2016,41.8,39
Alabama,12,2016,53.9,29
Arizona,12,2016,48.9,2
Arkansas,12,2016,49.1,20
California,12,2016,48.1,21
Colorado,12,2016,32.7,40
Connecticut,12,2016,38.0,22
Delaware,12,2016,44.1,41
Florida,12,2016,66.2,3
Georgia,12,2016,55.0,23
Idaho,12,2016,28.9,24
Illinois,12,2016,38.5,25
Indiana,12,2016,38.4,32
Iowa,12,2016,34.0,42
Kansas,12,2016,39.8,43
Kentucky,12,2016,43.4,18
Louisiana,12,2016,58.6,33
Maine,12,2016,28.8,15
Maryland,12,2016,42.8,0
Massachusetts,12,2016,36.6,30
Michigan,12,2016,33.8,4
Minnesota,12,2016,27.8,26
Mississippi,12,2016,53.8,8
Missouri,12,2016,41.7,37
Montana,12,2016,26.6,31
Nebraska,12,2016,34.0,9
Nevada,12,2016,36.8,1
New Hampshire,12,2016,31.2,44
New Jersey,12,2016,41.5,45
New Mexico,12,2016,42.2,34
New York,12,2016,33.9,10
North Carolina,12,2016,47.8,5
North Dakota,12,2016,24.8,35
Ohio,12,2016,38.4,6
Oklahoma,12,2016,47.1,27
Oregon,12,2016,35.3,47
Pennsylvania,12,2016,36.9,16
Rhode Island,12,2016,39.7,7
South Carolina,12,2016,52.3,11
South Dakota,12,2016,28.7,19
Tennessee,12,2016,46.8,46
Texas,12,2016,55.3,38
Utah,12,2016,34.5,28
Vermont,12,2016,30.4,12
Virginia,12,2016,43.7,36
Washington,12,2016,34.6,17
West Virginia,12,2016,40.6,13
Wisconsin,12,2016,30.8,14
Wyoming,12,2016,27.0,39
Alabama,1,2017,51.2,29
Arizona,1,2017,43.5,2
Arkansas,1,2017,43.8,20
California,1,2017,42.8,21
Colorado,1,2017,25.2,40
Connecticut,1,2017,32.6,22
Delaware,1,2017,39.2,41
Florida,1,2017,64.4,3
Georgia,1,2017,52.6,23
Idaho,1,2017,18.8,24
Illinois,1,2017,30.5,25
Indiana,1,2017,31.8,32
Iowa,1,2017,23.6,42
Kansas,1,2017,31.4,43
Kentucky,1,2017,39.0,18
Louisiana,1,2017,55.8,33
Maine,1,2017,21.0,15
Maryland,1,2017,38.2,0
Massachusetts,1,2017,31.2,30
Michigan,1,2017,25.1,4
Minnesota,1,2017,15.0,26
Mississippi,1,2017,51.2,8
Missouri,1,2017,33.9,37
Montana,1,2017,14.7,31
Nebraska,1,2017,24.3,9
Nevada,1,2017,29.8,1
New Hampshire,1,2017,25.0,44
New Jersey,1,2017,36.2,45
New Mexico,1,2017,37.5,34
New York,1,2017,27.8,10
North Carolina,1,2017,44.7,5
North Dakota,1,2017,10.7,35
Ohio,1,2017,32.8,6
Oklahoma,1,2017,39.8,27
Oregon,1,2017,27.0,47
Pennsylvania,1,2017,31.5,16
Rhode Island,1,2017,34.2,7
South Carolina,1,2017,50.2,11
South Dakota,1,2017,16.0,19
Tennessee,1,2017,42.9,46
Texas,1,2017,50.2,38
Utah,1,2017,26.6,28
Vermont,1,2017,24.4,12
Virginia,1,2017,39.6,36
Washington,1,2017,25.4,17
West Virginia,1,2017,36.6,13
Wisconsin,1,2017,19.6,14
Wyoming,1,2017,16.8,39
Alabama,2,2017,54.0,29
Arizona,2,2017,45.8,2
Arkansas,2,2017,48.8,20
California,2,2017,44.8,21
Colorado,2,2017,30.4,40
Connecticut,2,2017,33.6,22
Delaware,2,2017,41.8,41
Florida,2,2017,64.2,3
Georgia,2,2017,54.8,23
Idaho,2,2017,24.0,24
Illinois,2,2017,36.6,25
Indiana,2,2017,37.6,32
Iowa,2,2017,29.4,42
Kansas,2,2017,38.0,43
Kentucky,2,2017,43.6,18
Louisiana,2,2017,59.2,33
Maine,2,2017,21.0,15
Maryland,2,2017,41.0,0
Massachusetts,2,2017,32.2,30
Michigan,2,2017,27.6,4
Minnesota,2,2017,19.2,26
Mississippi,2,2017,55.0,8
Missouri,2,2017,40.2,37
Montana,2,2017,20.3,31
Nebraska,2,2017,30.1,9
Nevada,2,2017,33.6,1
New Hampshire,2,2017,26.2,44
New Jersey,2,2017,38.3,45
New Mexico,2,2017,40.8,34
New York,2,2017,29.2,10
North Carolina,2,2017,48.0,5
North Dakota,2,2017,15.8,35
Ohio,2,2017,37.6,6
Oklahoma,2,2017,45.7,27
Oregon,2,2017,30.8,47
Pennsylvania,2,2017,34.2,16
Rhode Island,2,2017,34.7,7
South Carolina,2,2017,53.4,11
South Dakota,2,2017,23.0,19
Tennessee,2,2017,46.9,46
Texas,2,2017,54.6,38
Utah,2,2017,31.2,28
Vermont,2,2017,25.2,12
Virginia,2,2017,43.0,36
Washington,2,2017,27.9,17
West Virginia,2,2017,39.8,13
Wisconsin,2,2017,23.6,14
Wyoming,2,2017,22.2,39
Alabama,3,2017,57.0,29
Arizona,3,2017,53.0,2
Arkansas,3,2017,54.1,20
California,3,2017,50.4,21
Colorado,3,2017,39.0,40
Connecticut,3,2017,34.0,22
Delaware,3,2017,44.1,41
Florida,3,2017,65.8,3
Georgia,3,2017,57.2,23
Idaho,3,2017,34.0,24
Illinois,3,2017,42.2,25
Indiana,3,2017,42.0,32
Iowa,3,2017,36.0,42
Kansas,3,2017,46.0,43
